Pre,runoff,
153.0482487,70.4375,
152.2304147,69.59375,
143.2525107,68.6875,
142.2014451,67.71875,
123.9304798,66.78125,
122.0709129,65.84375,
128.6345433,64.9375,
111.0239911,64.125,
134.2995953,63.34375,
134.4858963,62.53125,
149.75581,61.75,
135.673419,61,
143.53495,60.21875,
144.5761912,59.46875,
142.2782981,58.6875,
140.0631163,57.875,
138.8621077,57.03125,
141.6767515,56.25,
140.9139194,55.4375,
147.2732837,54.59375,
144.5014976,53.71875,
150.4964916,52.875,
149.2824408,52,
138.069503,51.0625,
131.3059575,50.125,
108.3517109,49.21875,
124.7798824,48.34375,
139.7357882,47.5625,
140.1733019,47.4375,
153.858856,53.0625,
159.5883549,67.71875,
166.186606,95.25,
140.6722638,172.15625,
191.4796899,217.53125,
219.7819072,230.71875,
227.0830068,234,
206.1802938,248.21875,
212.1661155,312.9375,
260.1349514,382.21875,
303.0052015,374.59375,
321.3769287,330.3125,
268.3760651,287.9375,
244.3458229,251.625,
201.7741653,222.78125,
179.6810379,203.78125,
191.1890297,192.90625,
191.6551294,180.40625,
158.4341274,164.46875,
157.5297335,149.40625,
181.3939651,137.75,
158.7478039,129.375,
187.5265334,123.71875,
174.2753179,119.59375,
170.012002,116.03125,
181.7210902,112.46875,
160.1756406,109.375,
162.8608241,106.96875,
143.4727428,104.65625,
119.0860412,102.125,
142.3944595,99.46875,
126.9343109,96.8125,
146.5115206,94.4375,
114.0137589,92.375,
141.2683583,90.53125,
102.0000329,88.96875,
109.5085041,87.59375,
89.11916365,86.15625,
127.0374461,84.75,
105.4155498,83.34375,
90.31838696,81.875,
109.1277348,80.46875,
117.3102226,79.15625,
113.1718289,77.875,
108.5042997,76.65625,
110.7046646,75.46875,
125.3221937,74.875,
114.0309544,74.5625,
141.7448598,74.25,
148.3731722,73.75,
143.4261435,73.0625,
144.7976954,72.40625,
132.8984204,71.78125,
122.6582039,71.21875,
117.4537407,70.65625,
115.138123,70.03125,
123.3077075,69.34375,
108.1797243,68.40625,
123.3018599,67.59375,
110.6116852,66.8125,
116.6173162,65.96875,
99.63326722,65.5,
122.7058188,74.1875,
180.0820654,101.96875,
130.515245,121.59375,
134.373717,125.375,
148.86309,119.34375,
141.0730561,108.65625,
128.9298966,97.5625,
125.3874103,88.03125,
141.2184129,80.78125,
86.98781571,75.90625,
90.58416002,74.28125,
173.6775664,83.5625,
169.2361705,102.75,
181.6330443,114.125,
190.5861147,131,
172.4102776,158.84375,
191.5409777,172.59375,
191.0195019,168.25,
200.9376232,157.0625,
187.6577896,143.875,
171.3147722,130.59375,
161.2940768,118.65625,
