AT,Tmax,Tmin,DPT,GF,SLP,SP,Evap,K,CUPE,runoff
9.19,13.04,4.21,1.64,8.67,1025.43,1023.1,-2.5467,-19.67,0.2,195.875
10.09,14.15,6.07,-1.3,9.9,1025.78,1023.44,-3.741,-37.76,0,179.03125
9.16,12.58,6.34,4.25,8.77,1017.62,1015.3,-1.7845,-0.43,0,163.5
13.19,17.62,8.86,8.02,13.29,1012.26,1009.99,-3.2058,-17.08,0,149.375
13.38,17.39,10.59,9.23,14.56,1013.38,1011.11,-2.4048,14.9,8.88,136.65625
10.76,11.62,9.85,9.23,11.14,1010.42,1008.13,-1.0755,25.2,23.8,126.1875
11.12,15.04,7.79,7.4,12.04,1019.06,1016.76,-2.6414,10.58,20.81,117.78125
8.93,11.41,5.78,-2.17,9.85,1028.1,1025.76,-3.9164,-17.97,0.16,112.3125
4.59,7.12,2.6,1.73,4.37,1028.37,1025.99,-1.7439,-6.32,1.03,110.96875
6.75,8.66,3.92,2.15,7.68,1025.75,1023.4,-2.1128,-7.12,0.72,111.34375
11.71,16.2,7.56,6.15,11.52,1021.79,1019.49,-3.3125,-2.54,0,111.875
15.75,21.14,10.98,8.93,15.12,1019.38,1017.11,-3.8552,3.89,3.02,111.46875
14.57,15.35,12.22,13.04,14.16,1014.16,1011.9,-0.7619,31.09,1.82,113.28125
17.17,19.23,14.46,15.48,16.67,1011.05,1008.81,-1.1718,28.6,5.64,126.75
14.54,16.09,13.26,13.2,14.87,1011.59,1009.33,-1.1681,30.36,7.07,161.0625
11.47,13.76,9.83,10.01,10.85,1011.34,1009.05,-1.305,21.99,93.34,207.59375
13.39,16.57,9.53,8.01,12.58,1020.01,1017.74,-3.2491,-3.37,0.55,284.625
15.08,20.32,9.48,7.2,13.7,1022.25,1019.97,-3.9181,-12.86,0.4,372.65625
15.6,20.14,11.27,4.48,14.33,1020.95,1018.68,-4.7634,-12.33,0,378.75
14.55,17.6,12.45,9.3,13.97,1018.1,1015.82,-2.3115,12.28,0.61,333.15625
16.21,20.82,12.7,6.88,14.02,1016.26,1014,-3.6731,-7.45,0.78,298.6875
16.55,19.29,13.08,5.34,15.52,1012.05,1009.8,-4.9731,19,39.52,279.875
12.35,16.78,7.48,1.42,10.72,1017.74,1015.46,-5.1304,-20.96,0,263.75
17.27,22.35,11.03,5.45,13.24,1016.77,1014.52,-4.5797,-3.6,0,246.625
17.87,24.06,11.25,7,15.91,1017.24,1015,-4.5311,-3.85,0,228.71875
21.03,27.15,16.51,9.82,18.78,1013.21,1010.99,-4.7046,2.99,136.63,209.96875
24.27,30.95,17.32,14.6,21.27,1009.99,1007.79,-4.9504,-0.76,657.04,191.5
26.63,33.5,21.31,15.38,23.41,1008.44,1006.24,-5.5238,-11.11,23.27,174.15625
24.58,30.02,19.66,17.25,23.1,1003.22,1001.03,-4.0036,24.09,67.3,159.71875
21.54,25.09,18.83,19.25,20.19,1004.23,1002.03,-1.3383,20.45,37.05,150.75
19.36,24.56,13.04,11.64,18.03,1010.53,1008.31,-4.7281,-5.44,0,148.40625
20.58,24.28,17.5,11.65,19.71,1009.57,1007.35,-4.7654,-39.8,0,147.65625
17.65,20.17,14.72,12.1,17.13,1007.25,1005.02,-1.9587,6.01,1.97,143.9375
