Predicted Sum,runoff
77.9931251,82.34375
166.1963284,224.59375
366.3934376,465.03125
528.7839061,544
507.6076562,497.21875
434.0503122,421.71875
365.7881254,351.625
308.2042189,304.125
272.8717185,270.5625
259.1953119,243.875
228.5473444,224.1875
209.7795312,206.71875
200.6171866,193.03125
193.6184363,185.84375
190.9764062,184.625
182.2548436,182.03125
173.7475,173.46875
165.9073438,161.375
150.9317192,148.40625
154.5482811,136.40625
130.3404687,126.65625
119.9115625,118.25
125.2753125,111.34375
119.8421875,105.46875
104.75,99.65625
96.520625,93.84375
89.4865625,88.0625
83.48078125,82.90625
86.24437505,78.03125
84.5302345,73.65625
71.881875,73.28125
79.6110938,82.0625
106.1968755,98.3125
109.736875,119.28125
134.5904687,141.25
151.2387493,159.46875
164.4217206,168.5625
189.9229676,168.25
162.0251572,162.125
152.4992192,152.59375
142.95625,141.28125
140.2562493,129.6875
122.0459373,120.125
114.8315625,113.1875
120.7025,110.46875
114.0014063,113.46875
123.2076563,118.96875
127.1515625,121.4375
117.6640625,118.75
126.2771875,118.9375
136.5029688,146
195.5046873,236.03125
337.9476564,402.375
471.5843745,517.84375
511.7934374,527.875
494.7775,491.875
462.6932806,459.75
442.8840622,439.0625
418.1540625,419.78125
398.2260934,393.5625
369.2792196,358.90625
345.295156,322.90625
323.1353127,295.125
290.3135911,277.95312
279.7310903,288.01562
318.4984376,339.5625
362.2140626,391.0625
379.0909343,399.82812
376.0896845,373.76562
340.9149998,332.125
312.0650008,289.9375
271.5307816,258.03125
251.3396874,247.65625
283.1498472,273.23438
334.8103113,394.8125
524.3143749,572.09375
694.101875,658.03125
633.541101,652.90625
617.5136095,612.7969
596.286879,569
527.1142185,530.875
497.231716,495.20312
452.2920275,450.70312
413.1721901,401.92188
378.7767188,356.78125
324.8528124,321.5
307.6110945,294
276.7998467,270.35938
260.9895305,247.59375
245.4514099,226.85938
224.0204687,224
274.9687504,265.40625
302.846716,329.45312
343.7337532,367.60938
350.8901558,356.71875
329.5251561,322.5625
297.3031282,287.10938
268.6595317,254.625
241.4968755,229.625
219.1762503,217.1875
217.5245349,216.98438
210.9012471,214.89062
208.5131249,207.78125
209.1367189,211.75
221.5382779,224.70312
226.0351536,225.14062
221.565625,213.34375
199.47,197.71875
187.1140596,182.45312
174.6384383,170.75
161.8967221,163.85938
162.2918787,160.79688
161.2223473,161.17188
158.0798412,161.07812
158.8614054,155.90625
150.4196868,146.59375
142.6615618,135.625
127.2796875,124.0625
114.2932813,112.57813
108.6940625,101.59375
96.59703125,91.5625
87.60515625,82.5625
81.39148435,75.04688
70.34875,68.875
69.5513283,63.875
60.70843745,60.04688
58.29078125,57.03125
55.17695318,54.46875
54.52968749,52.25
52.22632804,51.04688
51.93546845,50.78906
51.26304714,51.14844
51.37812499,51.3125
49.54601609,50.64844
49.42437472,49.63281
49.60179655,48.44531
48.23195357,47.49219
48.39437546,47.77344
50.62218719,49.82031
51.74976563,53.14063
56.4186715,56.94531
58.1288281,59.40625
58.76968779,59.05469
56.43023469,56.61719
55.06117216,53.55469
51.02359341,50.82031
49.87867221,49.52344
50.10460915,49.53906
49.96078125,50.23438
51.70953156,51.55469
51.61414061,53.01563
52.09601583,54.21094
53.7201559,55.00781
57.12023408,56.38281
58.33945313,59.5
61.1228141,64.42969
68.79226405,72.00781
76.2221111,81.08594
83.4194548,86.80469
100.4223455,87.39844
84.7609375,84.29688
79.1358579,80.25781
86.0992188,76.625
72.17210805,72.78906
69.7798453,68.30469
