Predicted Sum,runoff
411.0227346,399.71875
386.1116415,380.96875
407.0640625,400.03125
466.2914059,491.4375
543.7964063,578.9375
591.7406255,596.40625
574.4815625,577.28125
549.386874,546.125
521.5282805,514.71875
492.065625,490.25
497.8532814,489.59375
497.1532813,493.59375
501.8923438,506.03125
515.116875,525.90625
540.1946875,531.03125
533.2414062,526.09375
548.692657,547.8125
567.8566405,595.125
600.098437,604.46875
601.1285168,598.9375
599.697734,588.375
588.235696,578.46875
582.509844,565.9375
546.617109,546.78125
529.962656,517.5625
507.0650001,491.25
492.9732811,483.625
497.9073436,512.09375
561.0951545,585
639.500938,652.0625
688.574142,714.15625
733.9317177,750.5625
714.685777,717.625
686.6384305,665.0625
639.9389044,639.875
676.6524164,705.15625
862.4682006,959.625
1126.424764,1207.8125
1189.227356,1207.9375
1158.465036,1143.5938
1072.970469,1057.125
1053.89757,965.375
935.5724975,910.25
893.7784354,898.09375
885.840467,882.28125
874.6000035,863.59375
857.684689,853.1875
893.5471935,868.96875
880.1746865,896.53125
877.6370295,869.875
837.55625,825.875
799.34797,798.96875
787.6390604,783.53125
765.5081225,755.1875
734.3406225,716.5
710.2999997,705.71875
728.9014057,715.3125
712.0814062,688.6875
651.2159365,649.09375
637.487418,615.375
577.8032815,577.625
559.2730455,543.8125
532.9719534,525.90625
527.8064075,523.5625
530.3140625,525.71875
532.795625,524.9375
543.9682815,540.28125
570.8723436,582.6875
579.702815,583.875
571.563125,550.125
519.6514045,519.03125
512.184375,505.09375
517.230625,515.59375
513.6221875,529.34375
521.4303125,520.0625
507.99625,501
488.910625,484.9375
475.187344,473.09375
478.1440625,470.5
491.306797,495.75
539.461875,556.5625
620.337031,653.71875
670.9438267,674.21875
643.453906,640.75
610.7408588,595.53125
560.5535155,550.28125
531.0701595,511.28125
490.500624,480.375
479.733125,464.53125
470.3606254,468.875
463.6757821,468.46875
455.1420334,457.6875
452.8635156,452.90625
459.7221095,456.40625
458.3480468,460.53125
460.2145312,453.59375
446.3200783,446.46875
448.8682808,452.84375
444.8790625,448.03125
432.3196102,426.9375
425.3467966,409.34375
412.169686,414.25
485.7815665,465.46875
508.5071107,522.0625
544.2713281,559.6875
586.6846865,601.9375
597.645781,612.34375
592.6995491,591.1719
589.731857,584.8906
601.415295,605.1406
645.1999218,663.5
684.4338122,710.2031
716.0957803,728.59375
727.0246855,736.875
718.546701,727.9531
715.7784375,717.125
718.5351375,718.7031
754.19764,738.5156
784.9670312,807.875
853.8307627,911.8906
956.3619645,962.4844
987.083422,1015.1406
995.038969,978.8906
937.9021925,936.03125
889.2928134,892.5625
837.2275621,826.0156
763.1896105,755.875
694.290141,685.8281
640.065,626.375
641.8632199,626.5469
684.1926585,701.375
732.57842,736.4531
733.6091995,720.4531
727.7064215,687.9219
661.666406,662.34375
641.2902985,645.8281
649.126412,644.96875
653.780486,656.4219
656.3125613,661.4531
646.7151525,640.21875
650.6057815,631.15625
681.7279735,688.34375
787.4090475,847.7031
994.3943719,1092.5
1167.918261,1221.8281
1230.610135,1241.0156
1339.933156,1217.0938
1228.042965,1249.75
1270.690139,1308.3281
1265.832967,1278
1313.450749,1381.4062
1436.940653,1544.4688
1583.467941,1548.6562
1530.234384,1479.8594
1367.895483,1390.7344
1328.431268,1287.2969
1199.17875,1175.125
1137.867812,1103.8125
1210.330322,1283.8594
1560.998144,1725.6719
1938.595783,2085.9375
2036.034352,2111.6562
1936.647827,1984.2969
1887.223289,1808.6719
1746.088751,1638.875
1566.930641,1495.0469
1385.673285,1362.6875
1317.672629,1279.1562
1257.309543,1225.7344
1204.322948,1190.1406
1218.065662,1240.0938
1288.697678,1317.4844
1279.733748,1289
1224.32076,1204.2656
1169.0269,1161.8594
1119.492497,1124.75
1059.079674,1040.8281
996.2782815,963.25
925.568833,899.9922
905.551417,897.4297
917.477643,944.0781
938.1284534,944.6719
948.2289036,969.59375
998.372175,1005.5156
976.352041,975.6797
923.041738,908.1094
852.016093,839.75
792.8360901,789.5625
839.774062,799.78125
891.1894487,880.8203
969.1557815,1021.5625
1049.031395,1053.8203
1049.723828,1003.4297
949.0203965,938.8047
894.9958588,875.77344
845.9584375,847.34375
831.2446788,838.91406
795.2517125,798.9453
766.778061,745.0469
711.1439085,691.5625
652.629547,642.4219
617.1981255,606.90625
604.4612486,580.72656
569.2099365,559.2344
541.667327,536.7031
522.638592,517.85156
519.0728125,513.3125
515.656077,528.3906
542.8189065,548.28125
534.2140622,536.5625
523.604842,508.35156
491.8664055,483.1875
467.8485904,467.89062
463.3807047,455.08594
446.2280475,444.34375
438.6652323,431.20312
430.6474297,432.9297
448.7970338,460.64844
467.3619534,470.21875
471.5896955,459.1797
448.8928109,444.41406
435.2684452,424.1172
414.0685153,405.03906
414.4941372,424.57812
461.147498,491.64062
492.6739095,502.85938
483.0096875,470.25
442.9764072,432.0625
409.429919,400.07812
381.7634408,371.23438
348.7737588,343.4922
328.7093677,321.1328
311.1760971,302.67188
290.0885847,285.3828
272.704453,267.75
253.3682034,249.625
239.6573435,234.71875
227.7031996,227.26562
230.599998,234.63281
243.6573434,252.34375
256.8710155,256.875
246.4722656,246.0625
