Predicted Sum,runoff
128.7541406,125.73438
129.4978906,122.35938
118.5513282,119.25
111.9445313,116.54688
110.7600777,114.35938
113.0805468,112.51563
113.8830462,110.92188
106.3992188,109.48438
108.9178904,108.0625
110.8699217,107.10938
123.5184372,109.89063
130.8203905,119.875
121.2972686,128.48438
136.0342935,132.89062
135.3128126,132.65625
129.4149216,127.42188
119.760625,121.39063
115.9348438,116.76563
113.6632032,113.4375
110.27125,110.90625
108.7975,108.90625
113.2830466,107.57813
120.6840632,107.96875
122.8825005,108.90625
121.4842186,108.67188
124.3053128,109.625
147.1942157,139.70312
240.846638,280.82812
351.2621869,389.28125
362.973284,369.54688
331.2961679,323.89062
291.906872,282.76562
252.0074218,246.53125
223.2827309,216.51562
199.6463323,194.04688
177.4200792,176.84375
167.5963279,162.15625
151.0237498,150
150.3931998,141.89062
156.2379688,141.25
162.0133594,147.15625
170.3488284,161.59375
184.441875,175.78125
177.4633582,175.00781
176.3341405,166.875
176.2670292,161.88281
181.5916374,157.45312
179.575936,155.41406
169.3710141,159.32031
173.1174999,161.375
171.3975796,158.52344
163.7007039,153.25
155.6976577,147.27344
152.2453915,140.96094
143.7643765,135.55469
147.413592,140.16406
215.4504688,225.71875
357.1819516,429.16406
593.9376486,651.5703
787.4567215,827.625
904.593145,878.1719
822.0695386,824.7422
743.3252324,750.85156
686.6226565,671.25
602.2149981,592.16406
581.0450782,520.15625
491.1341476,457.0547
434.2814098,404.60938
361.8189057,359.59375
327.7839092,321.85938
297.6621837,292.26562
295.5963281,266.3125
273.9890545,256.5703
257.858597,257.98438
250.6053125,254
245.3359396,245.08594
245.6739064,229.34375
217.0521123,210.73438
204.363673,193.33594
190.6732007,178.39062
175.139689,166.33594
162.5607821,157.71094
151.9381248,152.09375
149.7839834,148.28906
140.4489826,145.63281
145.6187484,144.35156
144.3544515,143.78906
141.1186748,144.42188
141.4369514,146.41406
145.9792973,148.5625
145.4095308,149.5
145.7656235,147.22656
139.1439082,144.05469
139.9812464,141.89062
140.0302344,142.1875
144.0346907,142.42188
137.4585139,139.72656
135.4640623,137.59375
138.7922641,136.57031
135.4734384,136.03125
133.9837476,135.76562
137.1187463,135.70312
133.6966405,136.40625
136.5679704,137.92969
142.037498,138.35156
141.4670281,136.76562
144.7861748,134.23438
135.9165605,131.85156
132.718048,129.96094
129.936953,128.4375
120.6565625,127.15625
119.8331234,126.00781
122.2604688,124.96875
124.4028927,124.05469
125.2704687,123.15625
124.8767968,122.23438
123.69625,121.26563
123.3510937,120.23438
117.980389,119.19531
120.2483593,118.14063
126.5653903,117.04688
119.2282048,116.02344
112.994061,115.19531
114.331484,114.4375
116.0869548,113.58594
115.9989062,112.71875
108.9680468,111.90625
106.75875,111.04688
112.4225,110.03125
108.7646094,108.90625
110.1363281,107.82813
114.9112498,106.8125
107.5025,105.82813
108.4239063,104.8125
108.7816409,103.75
107.0935938,102.70313
106.4302343,101.71875
106.4205467,100.79688
100.395625,99.9375
97.38984375,99.10938
100.395625,98.28125
95.87414065,97.39063
98.61835935,96.46875
95.5821876,95.48438
95.4626562,94.45313
98.32171875,93.4375
93.0560938,92.46875
89.73078125,91.53125
90.158125,90.60938
84.06,89.70313
78.18078125,88.8125
78.43296875,87.90625
81.0178125,87.01563
80.61734375,86.10938
81.8921875,85.1875
92.4259375,84.25
84.30375,83.3125
83.50546885,82.40625
84.7678125,81.51563
79.95203125,80.60938
79.94359375,79.71875
80.81046875,78.85938
90.63640625,77.98438
78.2928125,77.03125
